# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	154004
#@/user_id	linusboyle
bai du 	擺渡	c=1 d=0.852144 t=154004
bai du 	百度	c=3 d=1.26926e-11 t=154004
bai du tie ba 	百度貼吧	c=2 d=2.33839e-11 t=154004
bai fa mo nv 	白髮魔女	c=1 d=1.4306e-07 t=154004
bai fang 	拜訪	c=3 d=2.59461e-11 t=154004
bai ge 	白鴿	c=1 d=0.631284 t=154004
bai gei 	白給	c=1 d=1.40854e-30 t=154004
bai guan ye shi 	稗官野史	c=1 d=3.70404e-52 t=154004
bai he 	白河	c=3 d=0.000387808 t=154004
bai jia 	百家	c=0 d=3.70996e-13 t=154004
bai jia hao 	百家號	c=1 d=3.72856e-12 t=154004
bai jian 	敗劍	c=1 d=0.214381 t=154004
bai jin 	白金	c=2 d=8.60691e-51 t=154004
bai jin zhu yi 	拜金主義	c=1 d=7.10537e-10 t=154004
bai ke quan shu 	百科全書	c=2 d=2.13539e-37 t=154004
bai ling hai xia 	白令海峽	c=2 d=0.0619181 t=154004
bai long 	白龍	c=1 d=1.40227e-07 t=154004
bai mao nv 	白毛女	c=1 d=5.32122e-20 t=154004
bai mei 	白眉	c=1 d=0.045502 t=154004
bai miao 	白描	c=1 d=1.02563e-33 t=154004
bai nian 	百年	c=0 d=1.58839e-33 t=154004
bai nian wei you 	百年未有	c=1 d=1.59636e-32 t=154004
bai niang zi 	白娘子	c=1 d=0.00477195 t=154004
bai pi shu 	白皮書	c=2 d=8.92077e-11 t=154004
bai re 	白熱	c=1 d=1.91978e-26 t=154004
bai ri 	白日	c=1 d=5.37361e-47 t=154004
bai se 	白色	c=1 d=0.188247 t=154004
bai she 	擺設	c=1 d=0.818731 t=154004
bai she 	白蛇	c=13 d=0.822835 t=154004
bai she zhi jia 	白蛇之家	c=13 d=4.81851e-12 t=154004
bai tao 	柏韜	c=19 d=0.017481 t=154004
bai tian 	白天	c=1 d=5.94198e-24 t=154004
